algorithm,year,node,community_id,community_label,community_size,community_members,internal_edges,isolation_index,top_subsector,n_distressed,distressed_members,modularity_Q,subsector,defaulted
louvain,2015,XOM,8,Oilfield_Services,9,"BKR, COP, CVX, FTI, HAL, NOV, PBF, SLB, XOM",14,0.7777777777777778,Oilfield Services,0,,0.6419497458914242,Integrated Oil,False
louvain,2015,CVX,8,Oilfield_Services,9,"BKR, COP, CVX, FTI, HAL, NOV, PBF, SLB, XOM",14,0.7777777777777778,Oilfield Services,0,,0.6419497458914242,Integrated Oil,False
louvain,2015,COP,8,Oilfield_Services,9,"BKR, COP, CVX, FTI, HAL, NOV, PBF, SLB, XOM",14,0.7777777777777778,Oilfield Services,0,,0.6419497458914242,E&P,False
louvain,2015,SLB,8,Oilfield_Services,9,"BKR, COP, CVX, FTI, HAL, NOV, PBF, SLB, XOM",14,0.7777777777777778,Oilfield Services,0,,0.6419497458914242,Oilfield Services,False
louvain,2015,HAL,8,Oilfield_Services,9,"BKR, COP, CVX, FTI, HAL, NOV, PBF, SLB, XOM",14,0.7777777777777778,Oilfield Services,0,,0.6419497458914242,Oilfield Services,False
louvain,2015,BKR,8,Oilfield_Services,9,"BKR, COP, CVX, FTI, HAL, NOV, PBF, SLB, XOM",14,0.7777777777777778,Oilfield Services,0,,0.6419497458914242,Oilfield Services,False
louvain,2015,FTI,8,Oilfield_Services,9,"BKR, COP, CVX, FTI, HAL, NOV, PBF, SLB, XOM",14,0.7777777777777778,Oilfield Services,0,,0.6419497458914242,Oilfield Services,False
louvain,2015,NOV,8,Oilfield_Services,9,"BKR, COP, CVX, FTI, HAL, NOV, PBF, SLB, XOM",14,0.7777777777777778,Oilfield Services,0,,0.6419497458914242,Oilfield Services,False
louvain,2015,PBF,8,Oilfield_Services,9,"BKR, COP, CVX, FTI, HAL, NOV, PBF, SLB, XOM",14,0.7777777777777778,Oilfield Services,0,,0.6419497458914242,Refining,False
louvain,2015,OXY,6,Integrated_Refining,5,"KMI, MPC, OVV, OXY, VLO",4,1.0,Refining,0,,0.6419497458914242,Integrated Oil,False
louvain,2015,OVV,6,Integrated_Refining,5,"KMI, MPC, OVV, OXY, VLO",4,1.0,Refining,0,,0.6419497458914242,E&P,False
louvain,2015,VLO,6,Integrated_Refining,5,"KMI, MPC, OVV, OXY, VLO",4,1.0,Refining,0,,0.6419497458914242,Refining,False
louvain,2015,MPC,6,Integrated_Refining,5,"KMI, MPC, OVV, OXY, VLO",4,1.0,Refining,0,,0.6419497458914242,Refining,False
louvain,2015,KMI,6,Integrated_Refining,5,"KMI, MPC, OVV, OXY, VLO",4,1.0,Refining,0,,0.6419497458914242,Midstream,False
louvain,2015,EOG,2,E&P_Core,4,"EOG, EPD, FANG, MRO",3,0.42857142857142855,E&P,0,,0.6419497458914242,E&P,False
