ticker,distress_start,distress_end,drawdown_pct
CHRD,2015-08-03,2015-08-05,-0.5539529591206769
CHRD,2015-08-21,2015-08-26,-0.568910191877596
CHRD,2015-09-11,2015-09-14,-0.5112179554483489
CHRD,2015-09-25,2015-10-01,-0.5528845706472496
CHRD,2015-12-07,2015-12-07,-0.5111619445323419
CHRD,2015-12-14,2015-12-14,-0.508149015073484
CHRD,2015-12-17,2015-12-22,-0.6016060528271245
CHRD,2015-12-28,2015-12-28,-0.5552050108079587
CHRD,2015-12-30,2015-12-30,-0.5345182428551544
CHRD,2016-01-07,2016-03-03,-0.6882268294314224
CHRD,2016-03-07,2016-03-09,-0.5625002030582306
CHRD,2016-03-23,2016-03-23,-0.5014535608347335
CHRD,2016-04-04,2016-04-04,-0.5021803132440684
CHRD,2017-06-16,2017-06-30,-0.5438067292593739
CHRD,2017-07-05,2017-07-10,-0.5211810938778709
CHRD,2017-07-12,2017-07-12,-0.500648415979545
CHRD,2017-07-24,2017-07-24,-0.501670077257292
CHRD,2017-08-02,2017-08-03,-0.5141129619183334
CHRD,2017-08-16,2017-08-30,-0.5275537176982857
CHRD,2017-09-08,2017-09-11,-0.5103448411504904
CHRD,2018-12-06,2019-04-09,-0.6678346224517365
CHRD,2019-08-07,2019-09-06,-0.6230441566569282
CHRD,2019-09-27,2019-11-01,-0.5815294583086231
CHRD,2019-11-13,2019-12-11,-0.597582030121836
CHRD,2019-12-13,2019-12-16,-0.5371330494133976
CHRD,2020-01-24,2020-02-04,-0.5462010931798523
CHRD,2020-02-07,2020-06-05,-0.9312500035126746
CHRD,2020-06-09,2020-11-19,-0.9558823534620872
AM,2019-09-06,2019-09-06,-0.5087543649963763
AM,2019-10-08,2019-10-08,-0.5000029079416302
AM,2019-11-08,2019-12-11,-0.6301076640221589
AM,2020-03-09,2020-04-17,-0.7242014776925263
VLO,2020-03-12,2020-03-12,-0.5574335106551651
VLO,2020-03-16,2020-04-07,-0.6715986567629751
VLO,2020-04-15,2020-04-16,-0.5469631932877568
VLO,2020-04-21,2020-04-21,-0.5021629484241982
VLO,2020-10-28,2020-10-28,-0.5129341296964933
BKR,2020-03-09,2020-03-09,-0.5085222684264982
BKR,2020-03-11,2020-03-12,-0.579295080889245
BKR,2020-03-16,2020-04-07,-0.6331610194189236
BKR,2020-04-16,2020-04-16,-0.5049837871047147
MTDR,2016-01-13,2016-01-13,-0.5206611932682669
MTDR,2016-01-15,2016-01-20,-0.547969823021249
MTDR,2016-01-25,2016-01-25,-0.5249730957539089
MTDR,2016-01-27,2016-01-27,-0.5001797670192896
MTDR,2016-02-11,2016-02-11,-0.5073662465936214
MTDR,2018-12-17,2019-01-04,-0.5873758735501372
MTDR,2019-03-08,2019-03-08,-0.5119813321348125
MTDR,2020-02-27,2020-02-28,-0.5122075530243544
MTDR,2020-03-03,2020-06-04,-0.9389623522545327
MTDR,2020-06-10,2020-06-12,-0.5671414633830794
MTDR,2020-06-24,2020-07-14,-0.6230926089653795
ET,2015-12-03,2016-04-20,-0.8614359679328369
ET,2020-03-12,2020-03-12,-0.5287120234039261
ET,2020-03-16,2020-04-22,-0.6609040772456034
ET,2020-07-06,2020-07-07,-0.5203433038512831
ET,2020-07-09,2020-07-09,-0.5034981676482206
ET,2020-07-13,2020-07-14,-0.5019316825784741
PR,2018-12-19,2019-01-03,-0.558681287509247
PR,2019-02-26,2019-04-18,-0.6290109277522828
PR,2019-05-01,2019-05-02,-0.5123884174837231
PR,2019-05-06,2019-05-08,-0.5252724149111183
PR,2019-05-30,2019-06-19,-0.5492958065658758
PR,2019-07-09,2019-07-09,-0.5133803166917316
PR,2019-07-15,2019-09-13,-0.6977099061837613
PR,2019-09-17,2019-12-06,-0.706261435719704
PR,2019-12-11,2019-12-11,-0.5072083942193882
PR,2020-02-10,2020-02-18,-0.5448276127968843
PR,2020-02-24,2020-11-20,-0.9506986084957552
FANG,2020-03-06,2020-06-02,-0.8403398553029298
FANG,2020-06-11,2020-06-12,-0.5328434567798616
FANG,2020-06-17,2020-07-20,-0.5955650492992532
