,count,mean,std,min,25%,50%,75%,max,missing_pct
year,1440.0,2019.5,2.8732791629111603,2015.0,2017.0,2019.5,2022.0,2024.0,0.0
betweenness_centrality,1440.0,0.008566760037348273,0.014885381237642183,0.0,0.0,0.0,0.009243697478991597,0.07142857142857144,0.0
pagerank,1440.0,0.027777777777777776,0.02304535297772857,0.010426698919129108,0.011145141049580917,0.017349302663668076,0.03504678217367466,0.10228744848083143,0.0
eigenvector_centrality,1440.0,0.11040680799058668,0.12489574504073633,8.789902615994144e-29,0.025480157859514525,0.06779473387181292,0.1355799605233916,0.5601217123156995,0.0
in_degree_centrality,1440.0,0.2513247111662847,0.28735030680758605,0.0,0.0,0.12388697544299365,0.42306787749252495,1.0,0.0
out_degree_centrality,1440.0,0.6249109195402298,0.4370751510613853,0.0,0.12,0.9999999999999999,1.0,1.0,0.0
clustering_coefficient,1440.0,0.013403317782374241,0.0385955724793825,0.0,0.0,0.0,0.0,0.20888741395685773,0.0
systemic_importance_score,1440.0,0.5138888888888888,0.2207416680746969,0.18680555555555553,0.30069444444444443,0.5402777777777779,0.6864583333333334,0.9555555555555556,0.0
contagion_vulnerability,1440.0,0.5055555555555555,0.13555618529215974,0.28055555555555556,0.4180555555555555,0.48749999999999993,0.6083333333333333,0.8166666666666667,0.0
in_degree,1440.0,1.4444444444444444,1.5361195742713953,0.0,0.0,1.0,2.0,6.0,0.0
out_degree,1440.0,1.4444444444444444,1.1269506463223624,0.0,1.0,1.0,2.0,4.0,0.0
louvain_community_id,1440.0,4.258333333333334,3.0719764990704053,0.0,1.0,4.0,7.0,9.0,0.0
community_size,1440.0,5.455555555555556,2.267263407802074,1.0,4.0,6.0,8.0,9.0,0.0
n_distressed_in_community,1440.0,0.3055555555555556,0.460802360601028,0.0,0.0,0.0,1.0,1.0,0.0
louvain_modularity_Q,1440.0,0.6099085918455293,0.009611021677758557,0.5958930269962472,0.6031788970440396,0.6105375790918065,0.6181607695380236,0.6242210611611596,0.0
community_isolation,1440.0,0.6429918937271879,0.2352685964873829,0.0,0.6,0.6666666666666666,0.75,1.0,0.0
fragmentation_index,1440.0,0.022488528291078582,0.03160790830374831,0.0,0.0,0.0,0.05474433855442884,0.08022056972613112,0.0
n_communities,1440.0,9.3,0.4584167696287505,9.0,9.0,9.0,10.0,10.0,0.0
debtrank_exposure,1440.0,0.032185276107063475,0.04632909999320827,0.0,0.0,0.01408588793524804,0.04481283077514584,0.23443083308820653,0.0
max_contagion_in,1440.0,0.35666965611357815,0.33603994835629697,0.0,0.0,0.3502824858757062,0.5,1.0,0.0
contagion_out,1440.0,1.1264846637472217,0.8216021882610284,0.0,0.4545,1.0,1.7650540865384614,2.7816091954022992,0.0
systemic_risk_contribution,1440.0,0.05906901843742283,0.022822283007250786,0.027777777777777776,0.04040277777777776,0.05555555555555555,0.07680705795940171,0.10504469987228611,0.0
n_exposed_neighbours,1440.0,4.472222222222222,3.3134687224878725,0.0,2.0,4.0,7.0,12.0,0.0
